p,scenario,bb84_qber,bb84_qber_ci_low,bb84_qber_ci_high,bb84_secure_fraction,bb84_secret_key_rate,b92_qber,b92_qber_ci_low,b92_qber_ci_high,b92_secure_fraction,b92_secret_key_rate,e91_qber,e91_qber_ci_low,e91_qber_ci_high,e91_secure_fraction,e91_chsh
0.01,single,0.006575224690534861,0.005546102713497974,0.007604346667571748,nan,0.8857661796984848,0.014450661707616292,0.012711282563054403,0.01619004085217818,nan,nan,0.021950462018912396,0.019213573772379148,0.024687350265445645,1.0,2.7069933201904193
0.01,dual,0.012451246197010641,0.011216334327895879,0.013686158066125404,nan,0.8067257326095154,0.022205170327842007,0.019272370109917388,0.025137970545766625,nan,nan,0.025705358191560657,0.022869183086749196,0.02854153329637212,1.0,2.679923386988516
0.01,triple,0.01645262878298179,0.014789004077356718,0.018116253488606866,nan,0.757939072676102,0.02368940366633545,0.021215241985335368,0.02616356534733553,nan,nan,0.029985550470631454,0.02715534432213712,0.03281575661912579,1.0,2.6597396229955503
0.02,single,0.01430257652241965,0.012903011534451598,0.015702141510387704,nan,0.7837476318215982,0.025866224860399013,0.0231072521773853,0.028625197543412726,nan,nan,0.029145474688952122,0.025773889491530175,0.03251705988637407,1.0,2.6704123293770357
0.02,dual,0.02247475390662626,0.02043287427219428,0.02451663354105824,nan,0.6897624991020259,0.047454534411200726,0.04398028138693267,0.05092878743546878,nan,nan,0.035313553123674804,0.032345805278846125,0.03828130096850348,1.0,2.617004082789495
0.02,triple,0.030675356820885135,0.02867598663028436,0.03267472701148591,nan,0.6044649723672081,0.050169788813119974,0.0462061234003273,0.05413345422591265,nan,nan,0.04413047450696546,0.041241703746784174,0.04701924526714674,1.0,2.5774172413947474
0.03,single,0.020078151563867306,0.01845085544068044,0.021705447687054173,nan,0.7162417672002657,0.04009520861057142,0.03651360523790938,0.04367681198323346,nan,nan,0.03661023710157531,0.03319455609001006,0.04002591811314055,1.0,2.6338313385636507
0.03,dual,0.0338654673966202,0.031567841099078196,0.0361630936941622,nan,0.5731578187110754,0.05918938665513194,0.05526532426348941,0.06311344904677446,nan,nan,0.048050269766673974,0.0435388974753775,0.05256164205797045,1.0,2.5548163984067425
0.03,triple,0.04597768221069307,0.0432944621464796,0.04866090227490655,nan,0.4618835257437486,0.07169748563549024,0.06665851190520526,0.07673645936577521,nan,nan,0.05687239560689326,0.052242596847364646,0.06150219436642187,1.0,2.4965990245924727
0.04,single,0.025211731492783964,0.023135743051846205,0.027287719933721723,nan,0.6604426109236744,0.04923949603778373,0.045337083120158224,0.05314190895540923,nan,nan,0.04212706735009182,0.03828308914011787,0.045971045560065774,1.0,2.597250347750267
0.04,dual,0.043662073393102734,0.04125575568948974,0.046068391096715726,nan,0.4823244344195864,0.08135400381900285,0.07749294459564077,0.08521506304236492,nan,nan,0.059755561217597196,0.05534697735524693,0.06416414507994747,1.0,2.4933603338402563
0.04,triple,0.059264928850939196,0.056314564556392124,0.06221529314548627,nan,0.3509599519337423,0.09011658564186789,0.08519832213741706,0.09503484914631873,nan,nan,0.07296093539095047,0.06822100694554019,0.07770086383636075,1.0,2.417276774790923
0.05,single,0.03328205869786393,0.0310010676812593,0.03556304971446856,nan,0.5788136995434829,0.0669917916249858,0.06280120407560355,0.07118237917436804,nan,nan,0.04831108021952432,0.043631413074298124,0.05299074736475052,1.0,2.5606693569368826
0.05,dual,0.05703494114866399,0.05417476782050209,0.05989511447682589,nan,0.3688789556970056,0.09936304606201102,0.09435039364756417,0.10437569847645786,nan,nan,0.06985563617683335,0.06474343734547854,0.07496783500818817,1.0,2.4326358890900384
0.05,triple,0.07728223096802062,0.07314430085247711,0.08142016108356412,nan,0.21494038229115864,0.11422485427980447,0.10838137745469845,0.1200683311049105,nan,nan,0.08507126048021724,0.07986290639467414,0.09027961456576034,1.0,2.339442236865329
0.06,single,0.040014105690231866,0.03793534550151036,0.04209286587895337,nan,0.5152862811881668,0.07669600430888922,0.07187676689248174,0.0815152417252967,nan,nan,0.05377356201936248,0.04901827002514409,0.05852885401358087,1.0,2.5240883661234985
0.06,dual,0.06901215084221088,0.06578889349614415,0.0722354081882776,nan,0.27554733753431004,0.11745497029523967,0.1121722921200965,0.12273764847038285,nan,nan,0.08038682273291192,0.07515472229202862,0.08561892317379523,1.0,2.372643064156089
0.06,triple,0.08558937375066324,0.08204674149735891,0.08913200600396756,nan,0.1568524116816825,0.13212913925988853,0.12661817361722957,0.1376401049025475,nan,nan,0.10096010070497796,0.09661585555038345,0.10530434585957248,1.0,2.263087097188073
0.07,single,0.048343119082237006,0.04515230966539878,0.05153392849907523,nan,0.4413669734834401,0.09070696859384476,0.08573864741528886,0.09567528977240067,nan,nan,0.06083655131188311,0.05639976770709732,0.0652733349166689,1.0,2.487507375310116
0.07,dual,0.07795037657349194,0.0748467715072732,0.08105398163971067,nan,0.21016856682234164,0.13515674684193052,0.12931739847861148,0.14099609520524956,nan,nan,0.08660285423614413,0.08139929632485189,0.09180641214743636,1.0,2.3133818590384077
0.07,triple,0.1031902006734807,0.0997913020603111,0.1065890992866503,nan,0.04194504429240209,0.1490934046808391,0.14442440181827929,0.1537624075433989,nan,nan,0.10892868543014711,0.10329789983804007,0.11455947102225415,0.98,2.1882029824132587
0.08,single,0.05312595159810143,0.05000684650751601,0.056245056688686845,nan,0.4009395592023296,0.09694409069716763,0.09219505660527065,0.1016931247890646,nan,nan,0.06483048827877867,0.06074407790497051,0.06891689865258684,1.0,2.4509263844967313
0.08,dual,0.08974985919769837,0.0871840903603956,0.09231562803500115,nan,0.1287313437703026,0.14977171793544358,0.14411192697061073,0.15543150890027643,nan,nan,0.10308887937828658,0.09705234001042796,0.10912541874614519,0.96,2.2548522737369927
0.08,triple,0.11475746439361593,0.11127696049500554,0.11823796829222633,nan,0.0,0.16058471805730978,0.15504247765630497,0.1661269584583146,nan,nan,0.12680574885895216,0.11971930364449142,0.1338921940734129,0.7,2.114781458219913
0.09,single,0.05895719963352542,0.056066544458339605,0.06184785480871124,nan,0.35341718571025094,0.1082238335290947,0.10344646942567286,0.11300119763251655,nan,nan,0.07742530041409908,0.07184260244869264,0.08300799837950551,1.0,2.4143453936833477
0.09,dual,0.10042829260751279,0.09688545231821791,0.10397113289680768,nan,0.0592964386549244,0.1638112910396684,0.1575931558067631,0.1700294262725737,nan,nan,0.11079657881505481,0.10539209669408105,0.11620106093602857,0.96,2.1970543082518454
0.09,triple,0.1277501918217867,0.12392221551086312,0.13157816813271028,nan,0.0,0.18154982822269616,0.17595915454317992,0.1871405019022124,nan,nan,0.13949453070691084,0.13455806903345266,0.14443099238036902,0.6,2.0428140280118616
0.1,single,0.07001720370096944,0.06648582325570088,0.073548584146238,nan,0.26802430308168446,0.12046667621891068,0.11526726748354957,0.12566608495427178,nan,nan,0.07499511135490483,0.07021311052534379,0.07977711218446587,1.0,2.3777644028699623
0.1,dual,0.11117691443356469,0.10729888716122485,0.11505494170590452,nan,0.0,0.181570867170317,0.17411218267675557,0.18902955166387844,nan,nan,0.12234280384257053,0.11607291999271059,0.12861268769243045,0.8,2.139987962582966
0.1,triple,0.13987435670555157,0.13517124505823208,0.14457746835287105,nan,0.0,0.19685380051028298,0.19066864881170617,0.20303895220885979,nan,nan,0.14915737642198873,0.14247035787740225,0.1558443949665752,0.48,1.972292131572198
